top - 21:16:44 up 11:51,  2 users,  load average: 1.02, 0.92, 0.93
Tasks: 223 total,   1 running, 222 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.5 us,  0.7 sy,  0.0 ni, 96.0 id,  0.8 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:   1548732 total,  1439024 used,   109708 free,     5256 buffers
KiB Swap:  1657852 total,   581928 used,  1075924 free.   305604 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2126 tranquil  20   0 1111068  13100     12 S   0.0  0.8   0:20.72 nautilus
 2147 tranquil  20   0  579244  11152   5476 S   0.0  0.7   0:06.35 nm-applet
 2150 tranquil  20   0  561844   3108    500 S   0.0  0.2   0:00.32 unity-fallback-
 2158 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3:1H
 2159 tranquil  20   0  350032   5160    500 S   0.0  0.3   0:00.29 polkit-gnome-au
 2166 tranquil  20   0  362744   3128   2116 S   0.0  0.2   0:00.38 gvfs-udisks2-vo
 2168 tranquil  20   0   52208    948    600 S   0.0  0.1   0:00.10 gconfd-2
 2188 root      20   0  436016   2720   1944 S   0.0  0.2   0:09.31 udisksd
 2198 tranquil  20   0  185608    400     68 S   0.0  0.0   0:00.04 gvfs-mtp-volume
 2202 tranquil  20   0  197780    336      0 S   0.0  0.0   0:00.04 gvfs-gphoto2-vo
 2225 tranquil  20   0  322176    340      0 S   0.0  0.0   0:00.03 gvfs-afc-volume
 2267 tranquil  20   0  345336    176      0 S   0.0  0.0   0:00.16 gvfsd-trash
 2295 tranquil  20   0  266972      0      0 S   0.0  0.0   0:00.00 gvfsd-burn
 2695 tranquil  20   0  460940    640    112 S   0.0  0.0   0:00.20 telepathy-indic
 2701 tranquil  20   0  345508    964     12 S   0.0  0.1   0:02.41 mission-control
 2800 tranquil  20   0  500284    740      0 S   0.0  0.0   0:03.67 zeitgeist-datah
 2805 tranquil  20   0  338500    712      0 S   0.0  0.0   0:00.45 zeitgeist-daemo
 2811 tranquil  20   0  242176   1120      0 S   0.0  0.1   0:00.61 zeitgeist-fts
 2817 tranquil  20   0    7384      0      0 S   0.0  0.0   0:00.00 cat
 3636 root      20   0    4472      0      0 S   0.0  0.0   0:00.00 sh
 3637 root      20   0    4472    236    236 S   0.0  0.0   0:00.00 authatieventsd.
